variant,target,seed,mae,rmse,r2
tier1_full,ef,42,0.12378859247661268,0.32007001724601947,0.8825396081213229
tier1_voronoi_subset,ef,42,0.12495064932011293,0.29215539535287754,0.916160368356821
tier1_full,ef,123,0.12240853396391684,0.3178718551069672,0.8810789224972271
tier1_voronoi_subset,ef,123,0.11948224183019307,0.2695232363581476,0.9290604277322794
tier1_full,ef,456,0.12071714179891167,0.3071675496747222,0.8867247017785691
tier1_voronoi_subset,ef,456,0.11906128886458686,0.2806357042056284,0.9219566747796044
tier1_full,bg,42,0.5135141280717286,0.7645778353982635,0.7761150390761533
tier1_voronoi_subset,bg,42,0.5014354163381114,0.7890455167672535,0.7708077770746578
tier1_full,bg,123,0.5227854108891187,0.7859566069957972,0.7672057359101154
tier1_voronoi_subset,bg,123,0.4991892481533092,0.7904987904994193,0.7713264940966319
tier1_full,bg,456,0.5222133196616093,0.78692663338311,0.7654728275889229
tier1_voronoi_subset,bg,456,0.4951409555593091,0.7885906684102392,0.7772126527474191
