tier,split,target,seed,test_set,alpha,coverage,mean_width
tier1,standard,ef,42,test,0.1,0.8866411518133771,0.44094566315595785
tier1,standard,ef,42,test,0.2,0.7839438673227629,0.28126013126314925
tier1,standard,ef,42,test,0.3,0.6873519227264443,0.2016971377344409
tier1,standard,ef,123,test,0.1,0.9006743211226536,0.4708413799067307
tier1,standard,ef,123,test,0.2,0.7992527792965191,0.2921542221979392
tier1,standard,ef,123,test,0.3,0.6973756150902133,0.20871837493230358
tier1,standard,ef,456,test,0.1,0.9071441589210862,0.4725662406614073
tier1,standard,ef,456,test,0.2,0.7992527792965191,0.2885387607590327
tier1,standard,ef,456,test,0.3,0.7004738472753782,0.20727084961260722
tier1,standard,bg,42,test,0.1,0.8998542008383452,2.3895562118224194
tier1,standard,bg,42,test,0.2,0.7997995261527246,1.6133063215772268
tier1,standard,bg,42,test,0.3,0.6927282668124658,1.175655935582337
tier1,standard,bg,123,test,0.1,0.8979405868416257,2.423733732124883
tier1,standard,bg,123,test,0.2,0.8017131401494442,1.6638538564011622
tier1,standard,bg,123,test,0.3,0.6973756150902133,1.2027230096419506
tier1,standard,bg,456,test,0.1,0.8926553672316384,2.426599239387872
tier1,standard,bg,456,test,0.2,0.793694186258429,1.6329774303741533
tier1,standard,bg,456,test,0.3,0.6923637689083287,1.175478642644099
tier1,domshift,ef,42,test_id,0.1,0.9024453694068678,0.4747190870694662
tier1,domshift,ef,42,test_id,0.2,0.798907388137357,0.2847905407553255
tier1,domshift,ef,42,test_id,0.3,0.6893860561914672,0.19524318289596113
tier1,domshift,ef,42,test_ood_sulfide,0.1,0.5141759268875272,0.4747190870694663
tier1,domshift,ef,42,test_ood_sulfide,0.2,0.3163360681275314,0.2847905407553255
tier1,domshift,ef,42,test_ood_sulfide,0.3,0.22089521237927096,0.1952431828959611
tier1,domshift,ef,42,test_ood_nitride,0.1,0.2469375560203167,0.47471908706946625
tier1,domshift,ef,42,test_ood_nitride,0.2,0.15132954884971617,0.2847905407553255
tier1,domshift,ef,42,test_ood_nitride,0.3,0.10501942037645653,0.1952431828959611
tier1,domshift,ef,42,test_ood_halide,0.1,0.28216444981862154,0.4747190870694663
tier1,domshift,ef,42,test_ood_halide,0.2,0.18246674727932286,0.2847905407553255
tier1,domshift,ef,42,test_ood_halide,0.3,0.1218863361547763,0.1952431828959611
tier1,domshift,ef,123,test_id,0.1,0.899063475546306,0.4753858476000827
tier1,domshift,ef,123,test_id,0.2,0.8024193548387096,0.2868723782732143
tier1,domshift,ef,123,test_id,0.3,0.6973204994797086,0.19675003584351816
tier1,domshift,ef,123,test_ood_sulfide,0.1,0.6109668709107903,0.47538584760008246
tier1,domshift,ef,123,test_ood_sulfide,0.2,0.397964482293073,0.2868723782732143
tier1,domshift,ef,123,test_ood_sulfide,0.3,0.27967597881399936,0.19675003584351813
tier1,domshift,ef,123,test_ood_nitride,0.1,0.24305348072901106,0.47538584760008257
tier1,domshift,ef,123,test_ood_nitride,0.2,0.14191813564386016,0.2868723782732143
tier1,domshift,ef,123,test_ood_nitride,0.3,0.09695249477143711,0.19675003584351816
tier1,domshift,ef,123,test_ood_halide,0.1,0.26928657799274486,0.47538584760008257
tier1,domshift,ef,123,test_ood_halide,0.2,0.17744860943168078,0.2868723782732143
tier1,domshift,ef,123,test_ood_halide,0.3,0.12460701330108827,0.19675003584351816
tier1,domshift,ef,456,test_id,0.1,0.8945109261186265,0.46158179343171035
tier1,domshift,ef,456,test_id,0.2,0.7973465140478668,0.2815828636804775
tier1,domshift,ef,456,test_id,0.3,0.6968002081165453,0.1945689522231735
tier1,domshift,ef,456,test_ood_sulfide,0.1,0.49454772042787415,0.4615817934317103
tier1,domshift,ef,456,test_ood_sulfide,0.2,0.30979333264098036,0.2815828636804776
tier1,domshift,ef,456,test_ood_sulfide,0.3,0.2230761242081213,0.19456895222317352
tier1,domshift,ef,456,test_ood_nitride,0.1,0.24305348072901106,0.46158179343171035
tier1,domshift,ef,456,test_ood_nitride,0.2,0.143860173289513,0.2815828636804776
tier1,domshift,ef,456,test_ood_nitride,0.3,0.0929190319689274,0.19456895222317347
tier1,domshift,ef,456,test_ood_halide,0.1,0.264087061668682,0.4615817934317103
