feature,mean_abs_shap,tier,family
MagpieData mode Electronegativity,0.19804790627015775,tier1,oxide
MagpieData avg_dev Electronegativity,0.15854187769949526,tier1,oxide
MagpieData avg_dev NdValence,0.14631173764240366,tier1,oxide
MagpieData mean NdValence,0.06462155243264021,tier1,oxide
MagpieData avg_dev NUnfilled,0.0626771693389401,tier1,oxide
MagpieData mean SpaceGroupNumber,0.03451468083840273,tier1,oxide
MagpieData maximum NUnfilled,0.03334452780486138,tier1,oxide
MagpieData mean MeltingT,0.032048661979067125,tier1,oxide
MagpieData maximum NpUnfilled,0.03163483826243512,tier1,oxide
MagpieData mean GSbandgap,0.02910183240998596,tier1,oxide
MagpieData minimum Column,0.023147481919169047,tier1,oxide
MagpieData maximum Electronegativity,0.02159582653467952,tier1,oxide
MagpieData mean NsValence,0.020824829464060106,tier1,oxide
MagpieData maximum GSbandgap,0.020339659819296693,tier1,oxide
MagpieData minimum SpaceGroupNumber,0.01986020771632309,tier1,oxide
MagpieData maximum NdValence,0.019581838906360362,tier1,oxide
MagpieData avg_dev CovalentRadius,0.018577759088985964,tier1,oxide
MagpieData avg_dev Column,0.018194922518518074,tier1,oxide
MagpieData mean Electronegativity,0.01738116502082269,tier1,oxide
MagpieData mean NpUnfilled,0.01658944971057621,tier1,oxide
MagpieData avg_dev GSbandgap,0.015929265063388903,tier1,oxide
MagpieData mean GSvolume_pa,0.015285643069405079,tier1,oxide
MagpieData mean NUnfilled,0.015237008907659094,tier1,oxide
MagpieData minimum MendeleevNumber,0.015212326622120138,tier1,oxide
MagpieData mean NsUnfilled,0.01465778975112485,tier1,oxide
MagpieData mean NpValence,0.014170515722960473,tier1,oxide
MagpieData avg_dev NsValence,0.014040725081751618,tier1,oxide
MagpieData maximum CovalentRadius,0.013623350797294383,tier1,oxide
MagpieData maximum NdUnfilled,0.013566376267443912,tier1,oxide
MagpieData maximum NValence,0.013421746943015083,tier1,oxide
MagpieData range CovalentRadius,0.012927947307115618,tier1,oxide
MagpieData range Electronegativity,0.012693476676341218,tier1,oxide
MagpieData mode SpaceGroupNumber,0.012384509101171668,tier1,oxide
MagpieData minimum Electronegativity,0.012280896742163674,tier1,oxide
MagpieData range SpaceGroupNumber,0.011823134121735824,tier1,oxide
MagpieData mean Row,0.011781607593438341,tier1,oxide
MagpieData range MeltingT,0.011006290428710649,tier1,oxide
MagpieData maximum MeltingT,0.010983422896364796,tier1,oxide
MagpieData avg_dev SpaceGroupNumber,0.010789104771310546,tier1,oxide
MagpieData avg_dev GSvolume_pa,0.010705553235840937,tier1,oxide
MagpieData mean GSmagmom,0.010436425717615026,tier1,oxide
MagpieData range NpUnfilled,0.009928995604298552,tier1,oxide
MagpieData mean Column,0.009828322422716532,tier1,oxide
MagpieData mean CovalentRadius,0.009523226467241335,tier1,oxide
MagpieData avg_dev MeltingT,0.00926814327256712,tier1,oxide
MagpieData avg_dev MendeleevNumber,0.00922391254519922,tier1,oxide
MagpieData avg_dev NpValence,0.008643026716546815,tier1,oxide
MagpieData minimum Number,0.007893207682406088,tier1,oxide
MagpieData avg_dev NdUnfilled,0.0071244610626608786,tier1,oxide
MagpieData avg_dev Row,0.007072146811454955,tier1,oxide
MagpieData avg_dev NpUnfilled,0.00695813391831693,tier1,oxide
MagpieData range NUnfilled,0.006655550291622783,tier1,oxide
MagpieData avg_dev GSmagmom,0.0066131040646601365,tier1,oxide
MagpieData mean MendeleevNumber,0.006549106606246807,tier1,oxide
MagpieData avg_dev NValence,0.006319940389576566,tier1,oxide
MagpieData range GSvolume_pa,0.006210689037633368,tier1,oxide
MagpieData mean Number,0.006192503133573666,tier1,oxide
MagpieData minimum NUnfilled,0.0061432003200610945,tier1,oxide
MagpieData mean NValence,0.006008137453441987,tier1,oxide
MagpieData mean NfUnfilled,0.005631602457417319,tier1,oxide
MagpieData avg_dev NsUnfilled,0.005562482606094124,tier1,oxide
MagpieData range GSbandgap,0.005492923732092291,tier1,oxide
MagpieData range NValence,0.004746600561112317,tier1,oxide
MagpieData range NdValence,0.004539061836174762,tier1,oxide
MagpieData maximum Number,0.004192226991529388,tier1,oxide
MagpieData minimum NValence,0.004149755071826936,tier1,oxide
MagpieData avg_dev Number,0.003911200891589897,tier1,oxide
MagpieData range MendeleevNumber,0.003761465757388512,tier1,oxide
MagpieData avg_dev AtomicWeight,0.0036167700713276873,tier1,oxide
MagpieData mean NdUnfilled,0.003589249159301735,tier1,oxide
MagpieData maximum MendeleevNumber,0.00342556152442781,tier1,oxide
MagpieData range AtomicWeight,0.0033038718125862746,tier1,oxide
MagpieData maximum GSvolume_pa,0.0031865997853880376,tier1,oxide
MagpieData mode MeltingT,0.0031385361601893795,tier1,oxide
MagpieData mode Number,0.003072757097809749,tier1,oxide
MagpieData mean AtomicWeight,0.0029237803818421186,tier1,oxide
MagpieData avg_dev NfValence,0.0024091079200489448,tier1,oxide
MagpieData maximum NfUnfilled,0.0023465328848477443,tier1,oxide
MagpieData range Number,0.0022244850522316673,tier1,oxide
MagpieData mean NfValence,0.0021778162763749914,tier1,oxide
MagpieData maximum Column,0.001928251628972254,tier1,oxide
MagpieData avg_dev NfUnfilled,0.0018391117404238575,tier1,oxide
MagpieData mode MendeleevNumber,0.001739555002754277,tier1,oxide
MagpieData minimum GSvolume_pa,0.001680528854464077,tier1,oxide
MagpieData mode CovalentRadius,0.0016742396343472853,tier1,oxide
MagpieData range NdUnfilled,0.0016184869190163202,tier1,oxide
MagpieData range Column,0.0016065879524292251,tier1,oxide
MagpieData minimum MeltingT,0.0015908928561121716,tier1,oxide
MagpieData maximum SpaceGroupNumber,0.0014415563649740016,tier1,oxide
MagpieData mode GSvolume_pa,0.0013858518108820182,tier1,oxide
MagpieData range Row,0.0012144765440683977,tier1,oxide
MagpieData maximum AtomicWeight,0.0011347750058027703,tier1,oxide
MagpieData mode NpUnfilled,0.0011252895523139721,tier1,oxide
MagpieData mode AtomicWeight,0.0009700207714913622,tier1,oxide
MagpieData maximum GSmagmom,0.0009502692916632173,tier1,oxide
MagpieData range NfUnfilled,0.0009177752063439539,tier1,oxide
MagpieData range NsValence,0.0009057252448560647,tier1,oxide
MagpieData minimum AtomicWeight,0.0008383244091804166,tier1,oxide
MagpieData maximum NfValence,0.0007743452388340664,tier1,oxide
MagpieData mode GSbandgap,0.0005419593560363721,tier1,oxide
MagpieData mode NdValence,0.0004769743207952098,tier1,oxide
MagpieData minimum CovalentRadius,0.0003986681667677825,tier1,oxide
MagpieData mode NUnfilled,0.0003967882915673881,tier1,oxide
MagpieData mode Column,0.00028459075077015176,tier1,oxide
MagpieData range NpValence,0.000264172549817503,tier1,oxide
MagpieData minimum NsValence,0.00025420133622733836,tier1,oxide
MagpieData range NfValence,0.00024935027095018066,tier1,oxide
MagpieData mode NsValence,0.00023725459157925986,tier1,oxide
MagpieData minimum NpUnfilled,0.0002320550281595959,tier1,oxide
MagpieData mode NValence,0.00017807169154802484,tier1,oxide
MagpieData range GSmagmom,0.00015584673833326048,tier1,oxide
MagpieData mode NdUnfilled,0.00015372282430118066,tier1,oxide
MagpieData minimum NpValence,0.00013045349478476236,tier1,oxide
MagpieData maximum NsUnfilled,9.291522387253675e-05,tier1,oxide
MagpieData minimum GSbandgap,7.398941949417685e-05,tier1,oxide
MagpieData mode NpValence,5.973290438907388e-05,tier1,oxide
MagpieData mode GSmagmom,3.6575210785931395e-05,tier1,oxide
MagpieData mode NsUnfilled,1.6981048300959402e-05,tier1,oxide
MagpieData maximum Row,1.430173798608049e-05,tier1,oxide
MagpieData range NsUnfilled,1.291467953444183e-05,tier1,oxide
MagpieData maximum NpValence,6.207437620501148e-06,tier1,oxide
MagpieData mode Row,5.403540207485471e-06,tier1,oxide
MagpieData mode NfUnfilled,3.090357862684243e-06,tier1,oxide
MagpieData minimum NdValence,2.8255851750911905e-06,tier1,oxide
MagpieData mode NfValence,1.4268867384465842e-06,tier1,oxide
MagpieData minimum Row,4.7015611292817886e-07,tier1,oxide
MagpieData maximum NsValence,0.0,tier1,oxide
MagpieData minimum NfValence,0.0,tier1,oxide
MagpieData minimum NsUnfilled,0.0,tier1,oxide
MagpieData minimum NdUnfilled,0.0,tier1,oxide
MagpieData minimum NfUnfilled,0.0,tier1,oxide
MagpieData minimum GSmagmom,0.0,tier1,oxide
