feature,mean_abs_shap,tier,family
MagpieData mode Electronegativity,0.475341787384824,tier1,sulfide
MagpieData avg_dev Electronegativity,0.310482968781779,tier1,sulfide
MagpieData avg_dev NdValence,0.08742877364738845,tier1,sulfide
MagpieData minimum MendeleevNumber,0.06619261145551243,tier1,sulfide
MagpieData avg_dev Column,0.05675983402477412,tier1,sulfide
MagpieData avg_dev NUnfilled,0.05039999060567531,tier1,sulfide
MagpieData maximum Electronegativity,0.044438961457886166,tier1,sulfide
MagpieData mean NdValence,0.04411750234736895,tier1,sulfide
MagpieData avg_dev CovalentRadius,0.033689842884375786,tier1,sulfide
MagpieData mean SpaceGroupNumber,0.03154209493597687,tier1,sulfide
MagpieData range Electronegativity,0.030465810191743523,tier1,sulfide
MagpieData mean GSbandgap,0.030322032988392374,tier1,sulfide
MagpieData mode SpaceGroupNumber,0.02349872905574487,tier1,sulfide
MagpieData maximum NUnfilled,0.0190695636471209,tier1,sulfide
MagpieData mean MeltingT,0.018478174237009603,tier1,sulfide
MagpieData mean NsValence,0.016846324175725857,tier1,sulfide
MagpieData range CovalentRadius,0.016341740513215304,tier1,sulfide
MagpieData maximum CovalentRadius,0.015742441604584777,tier1,sulfide
MagpieData avg_dev NpValence,0.014865673176973897,tier1,sulfide
MagpieData avg_dev MendeleevNumber,0.013723273643389416,tier1,sulfide
MagpieData minimum Electronegativity,0.012642780319275036,tier1,sulfide
MagpieData avg_dev MeltingT,0.012092389567044776,tier1,sulfide
MagpieData maximum NpUnfilled,0.012046461347285662,tier1,sulfide
MagpieData minimum SpaceGroupNumber,0.012034632454833768,tier1,sulfide
MagpieData mean NUnfilled,0.011627277013297743,tier1,sulfide
MagpieData avg_dev NsValence,0.01152908248578743,tier1,sulfide
MagpieData avg_dev SpaceGroupNumber,0.011251343149095722,tier1,sulfide
MagpieData mean NsUnfilled,0.011233203022363702,tier1,sulfide
MagpieData avg_dev GSbandgap,0.010964413562798645,tier1,sulfide
MagpieData mean NpValence,0.01050296391882071,tier1,sulfide
MagpieData maximum NdValence,0.009185943278962641,tier1,sulfide
MagpieData minimum Number,0.009051719490581828,tier1,sulfide
MagpieData range SpaceGroupNumber,0.009033803067453024,tier1,sulfide
MagpieData maximum NValence,0.008977122617544658,tier1,sulfide
MagpieData avg_dev GSvolume_pa,0.008825986571450886,tier1,sulfide
MagpieData minimum NUnfilled,0.008700531550357984,tier1,sulfide
MagpieData range GSvolume_pa,0.008156678799298475,tier1,sulfide
MagpieData range MeltingT,0.008140237059328924,tier1,sulfide
MagpieData minimum Column,0.00798229119065418,tier1,sulfide
MagpieData maximum NdUnfilled,0.00774552882317651,tier1,sulfide
MagpieData maximum GSbandgap,0.007271237726008347,tier1,sulfide
MagpieData maximum MeltingT,0.007254063809792458,tier1,sulfide
MagpieData mean GSvolume_pa,0.007191772180056645,tier1,sulfide
MagpieData mode Number,0.007172292691391796,tier1,sulfide
MagpieData mean Column,0.007093213302861779,tier1,sulfide
MagpieData mode MeltingT,0.007046944569677941,tier1,sulfide
MagpieData mean MendeleevNumber,0.00689227145467235,tier1,sulfide
MagpieData mean NpUnfilled,0.006821629445321426,tier1,sulfide
MagpieData avg_dev NpUnfilled,0.0066611958409105295,tier1,sulfide
MagpieData range NUnfilled,0.0064009293702130855,tier1,sulfide
MagpieData mean NfUnfilled,0.005509070298351807,tier1,sulfide
MagpieData avg_dev NdUnfilled,0.005420468522128315,tier1,sulfide
MagpieData mean Electronegativity,0.005398409451306459,tier1,sulfide
MagpieData avg_dev NsUnfilled,0.005043218380859514,tier1,sulfide
MagpieData mode MendeleevNumber,0.005029411745658664,tier1,sulfide
MagpieData mean GSmagmom,0.00485833251975767,tier1,sulfide
MagpieData mean NValence,0.004215992540120945,tier1,sulfide
MagpieData maximum Column,0.004135056478589778,tier1,sulfide
MagpieData avg_dev NValence,0.004066034530004857,tier1,sulfide
MagpieData mean Number,0.004011485819389712,tier1,sulfide
MagpieData mean NdUnfilled,0.003902957450758327,tier1,sulfide
MagpieData range MendeleevNumber,0.0038939072474916975,tier1,sulfide
MagpieData mean Row,0.003832935965354913,tier1,sulfide
MagpieData minimum GSvolume_pa,0.0038317933944033004,tier1,sulfide
MagpieData range GSbandgap,0.0037678545996307957,tier1,sulfide
MagpieData avg_dev GSmagmom,0.0037545636136910726,tier1,sulfide
MagpieData range NpUnfilled,0.003688257423531255,tier1,sulfide
MagpieData avg_dev Row,0.0035985086292012664,tier1,sulfide
MagpieData mean CovalentRadius,0.003547467507089464,tier1,sulfide
MagpieData maximum GSvolume_pa,0.0034785206123202576,tier1,sulfide
MagpieData avg_dev Number,0.003389496181507697,tier1,sulfide
MagpieData maximum Number,0.003379555840363697,tier1,sulfide
MagpieData mode AtomicWeight,0.003379251099521062,tier1,sulfide
MagpieData avg_dev AtomicWeight,0.0033402969360461976,tier1,sulfide
MagpieData range NValence,0.0031607820303532408,tier1,sulfide
MagpieData range Column,0.0030709727245148907,tier1,sulfide
MagpieData mode GSvolume_pa,0.0024246761291873272,tier1,sulfide
MagpieData maximum MendeleevNumber,0.002231658223590649,tier1,sulfide
MagpieData minimum MeltingT,0.0022284152084875615,tier1,sulfide
MagpieData range AtomicWeight,0.0021619381562975842,tier1,sulfide
MagpieData minimum AtomicWeight,0.002156629884234506,tier1,sulfide
MagpieData avg_dev NfValence,0.002046120839185344,tier1,sulfide
MagpieData range NdValence,0.0020455135045014277,tier1,sulfide
MagpieData mean AtomicWeight,0.0019595624517976004,tier1,sulfide
MagpieData minimum NValence,0.0017985440856894937,tier1,sulfide
MagpieData maximum NfUnfilled,0.0017229636651652695,tier1,sulfide
MagpieData maximum AtomicWeight,0.0015734243987897177,tier1,sulfide
MagpieData mode NUnfilled,0.0013292059644330315,tier1,sulfide
MagpieData mode GSbandgap,0.001282470998564181,tier1,sulfide
MagpieData range NsValence,0.0012749198039956838,tier1,sulfide
MagpieData mode Column,0.0012267824957544599,tier1,sulfide
MagpieData range Number,0.0012159210330347906,tier1,sulfide
MagpieData mean NfValence,0.0011585854456299509,tier1,sulfide
MagpieData mode CovalentRadius,0.0010687568026424782,tier1,sulfide
MagpieData avg_dev NfUnfilled,0.001041269656054143,tier1,sulfide
MagpieData range NdUnfilled,0.0008744771820765658,tier1,sulfide
MagpieData maximum SpaceGroupNumber,0.0008645885941008989,tier1,sulfide
MagpieData mode NpUnfilled,0.0008636076394733916,tier1,sulfide
MagpieData maximum NfValence,0.0007449668606965477,tier1,sulfide
MagpieData mode NdValence,0.0007272442913170853,tier1,sulfide
MagpieData maximum GSmagmom,0.0007019232978181304,tier1,sulfide
MagpieData range Row,0.0006522590347079933,tier1,sulfide
MagpieData minimum NpUnfilled,0.0005860376218704383,tier1,sulfide
MagpieData minimum CovalentRadius,0.0004983829000103825,tier1,sulfide
MagpieData range NfUnfilled,0.0004902771898486457,tier1,sulfide
MagpieData minimum GSbandgap,0.00048212782315484106,tier1,sulfide
MagpieData mode NValence,0.0003175925318668593,tier1,sulfide
MagpieData range NpValence,0.0002811290195075664,tier1,sulfide
MagpieData mode NsValence,0.0002557839327392936,tier1,sulfide
MagpieData minimum NsValence,0.00019993220631879765,tier1,sulfide
MagpieData mode NdUnfilled,0.00019548362876947075,tier1,sulfide
MagpieData range NfValence,0.00019133537496114018,tier1,sulfide
MagpieData minimum NpValence,0.00013370636681412092,tier1,sulfide
MagpieData mode NpValence,0.00010598384166504116,tier1,sulfide
MagpieData range GSmagmom,6.0204302041294314e-05,tier1,sulfide
MagpieData mode GSmagmom,5.2714898514919555e-05,tier1,sulfide
MagpieData maximum NsUnfilled,3.778364255821843e-05,tier1,sulfide
MagpieData maximum NpValence,3.619446027178853e-05,tier1,sulfide
MagpieData mode NsUnfilled,2.2242297077273305e-05,tier1,sulfide
MagpieData minimum NdValence,1.8421332583322196e-05,tier1,sulfide
MagpieData range NsUnfilled,1.1233436208078151e-05,tier1,sulfide
MagpieData maximum Row,1.0101010421233873e-05,tier1,sulfide
MagpieData mode NfUnfilled,7.926006030623273e-06,tier1,sulfide
MagpieData mode Row,4.315875293935407e-06,tier1,sulfide
MagpieData mode NfValence,2.321028602090266e-06,tier1,sulfide
MagpieData minimum Row,5.362614936554503e-07,tier1,sulfide
MagpieData maximum NsValence,0.0,tier1,sulfide
MagpieData minimum NfValence,0.0,tier1,sulfide
MagpieData minimum NsUnfilled,0.0,tier1,sulfide
MagpieData minimum NdUnfilled,0.0,tier1,sulfide
MagpieData minimum NfUnfilled,0.0,tier1,sulfide
MagpieData minimum GSmagmom,0.0,tier1,sulfide
