feature,mean_abs_shap,tier
MagpieData mode Electronegativity,0.3804557715977543,tier2
MagpieData avg_dev Electronegativity,0.1770098291893697,tier2
MagpieData mean NdValence,0.07591985638253107,tier2
MagpieData mean SpaceGroupNumber,0.07298419765343649,tier2
MagpieData avg_dev NdValence,0.07118567368983812,tier2
MagpieData maximum Electronegativity,0.06065804861605717,tier2
std_dev CN_VoronoiNN,0.05203508264906306,tier2
MagpieData avg_dev MendeleevNumber,0.04761670131108496,tier2
MagpieData avg_dev NUnfilled,0.04740166465384352,tier2
MagpieData minimum MendeleevNumber,0.042147836008009476,tier2
n_symmetry_ops,0.03882019665619519,tier2
MagpieData avg_dev NpValence,0.03558563003313186,tier2
vpa,0.03292105898061185,tier2
MagpieData avg_dev CovalentRadius,0.030966446625856375,tier2
density,0.027183335296073308,tier2
MagpieData avg_dev Column,0.026876979495527833,tier2
MagpieData range Electronegativity,0.025444692530133563,tier2
MagpieData mode SpaceGroupNumber,0.02527322881991059,tier2
MagpieData maximum CovalentRadius,0.02501017673466646,tier2
MagpieData mean NpValence,0.023663810838511448,tier2
MagpieData mean GSbandgap,0.023151735469962784,tier2
MagpieData maximum NdValence,0.02255703858061543,tier2
MagpieData mean NsValence,0.021433084372483303,tier2
MagpieData range SpaceGroupNumber,0.020166317202367376,tier2
spacegroup_num,0.019657653068623555,tier2
packing fraction,0.017870840028927318,tier2
MagpieData mean MeltingT,0.01701465875051991,tier2
MagpieData maximum NUnfilled,0.01696012402858201,tier2
MagpieData maximum GSbandgap,0.016866755484987995,tier2
MagpieData minimum Electronegativity,0.016560402790996864,tier2
mean CN_VoronoiNN,0.01556925666639881,tier2
MagpieData range MeltingT,0.01483202699282994,tier2
MagpieData maximum NpUnfilled,0.013786033420652053,tier2
MagpieData mean NsUnfilled,0.012749304896946142,tier2
MagpieData range CovalentRadius,0.012610325202768662,tier2
MagpieData mean GSvolume_pa,0.012456201206496256,tier2
MagpieData avg_dev GSbandgap,0.011131875522925577,tier2
MagpieData avg_dev GSvolume_pa,0.010949940054409796,tier2
MagpieData range NUnfilled,0.0106640637835301,tier2
MagpieData maximum NdUnfilled,0.010614449336665454,tier2
MagpieData avg_dev SpaceGroupNumber,0.010214261948037647,tier2
MagpieData range GSbandgap,0.010109581388684353,tier2
MagpieData mean Electronegativity,0.009861031296552405,tier2
MagpieData minimum Column,0.009378980325369898,tier2
MagpieData maximum MeltingT,0.009232456553149337,tier2
MagpieData minimum NUnfilled,0.009038733998340128,tier2
MagpieData minimum GSvolume_pa,0.008855927901140384,tier2
MagpieData mean NpUnfilled,0.008647175948826413,tier2
MagpieData mode MeltingT,0.008454599350364625,tier2
MagpieData avg_dev NdUnfilled,0.00833517915766951,tier2
MagpieData mean NUnfilled,0.008080849536822672,tier2
MagpieData avg_dev NsValence,0.007500280372957563,tier2
MagpieData maximum NValence,0.007421042561202933,tier2
is_centrosymmetric,0.007181188699544904,tier2
MagpieData avg_dev MeltingT,0.007175583415129051,tier2
MagpieData mean GSmagmom,0.006914813244710284,tier2
MagpieData mean Column,0.006398940342841184,tier2
MagpieData mode Number,0.005329832773212587,tier2
MagpieData minimum SpaceGroupNumber,0.005223213265582857,tier2
MagpieData range NdValence,0.005213982079389526,tier2
MagpieData minimum Number,0.005144558050123262,tier2
MagpieData mode GSvolume_pa,0.005016976437605781,tier2
MagpieData avg_dev NpUnfilled,0.004977680103060384,tier2
MagpieData mean MendeleevNumber,0.004942539090328874,tier2
MagpieData mean Row,0.0046631537661866495,tier2
MagpieData range NValence,0.004591151640080627,tier2
MagpieData maximum GSvolume_pa,0.004474862989215836,tier2
MagpieData range GSvolume_pa,0.004417202506499829,tier2
MagpieData maximum MendeleevNumber,0.004402838514158941,tier2
MagpieData avg_dev AtomicWeight,0.004309617346601594,tier2
MagpieData mean NValence,0.004204212943404811,tier2
MagpieData maximum Number,0.004167376794063238,tier2
MagpieData minimum MeltingT,0.004143466304711991,tier2
MagpieData maximum Column,0.003811605916860894,tier2
MagpieData avg_dev NValence,0.0036942700159824948,tier2
MagpieData mean CovalentRadius,0.0035108877885685627,tier2
MagpieData mean NdUnfilled,0.0033757607784509706,tier2
MagpieData mode MendeleevNumber,0.0033249777357193095,tier2
MagpieData maximum NfUnfilled,0.003276306695318184,tier2
MagpieData mean NfUnfilled,0.0032463131912729565,tier2
crystal_system,0.0032139369525902364,tier2
MagpieData avg_dev GSmagmom,0.003163408858853978,tier2
MagpieData avg_dev NsUnfilled,0.0031557773375665474,tier2
MagpieData avg_dev Row,0.0030223822362546466,tier2
MagpieData mode NpUnfilled,0.003015342356461463,tier2
MagpieData minimum NValence,0.0029268695186319567,tier2
MagpieData range MendeleevNumber,0.0028234481608716963,tier2
MagpieData range AtomicWeight,0.0027208942281278406,tier2
MagpieData range NpUnfilled,0.002510644592999501,tier2
MagpieData minimum AtomicWeight,0.002455415388597255,tier2
MagpieData mean Number,0.0022676289885109184,tier2
MagpieData mean AtomicWeight,0.002253967444558867,tier2
MagpieData minimum CovalentRadius,0.0021434733291105547,tier2
MagpieData range Column,0.001958856375095276,tier2
MagpieData mean NfValence,0.001936808436837658,tier2
MagpieData mode CovalentRadius,0.0019210693268269263,tier2
MagpieData maximum SpaceGroupNumber,0.0018596420423943399,tier2
MagpieData avg_dev Number,0.0017931172585438971,tier2
MagpieData mode NUnfilled,0.0014934724287438963,tier2
MagpieData range Number,0.0014874298381588513,tier2
MagpieData avg_dev NfValence,0.0013581385304300424,tier2
MagpieData range NdUnfilled,0.0012946713454299976,tier2
MagpieData maximum GSmagmom,0.0012487119431910977,tier2
MagpieData mode NValence,0.001232746735293131,tier2
MagpieData range NfUnfilled,0.0012195747045597876,tier2
crystal_system_int,0.0011212327368989713,tier2
MagpieData mode Column,0.0011010220167652729,tier2
MagpieData maximum AtomicWeight,0.0010019863111311725,tier2
MagpieData mode GSbandgap,0.0007355901720616006,tier2
MagpieData range Row,0.0006810698855272563,tier2
MagpieData minimum NsValence,0.0005740788120168681,tier2
MagpieData maximum NfValence,0.0004644518301289434,tier2
MagpieData avg_dev NfUnfilled,0.00042966161777953414,tier2
MagpieData range NpValence,0.0004054783475586939,tier2
MagpieData mode AtomicWeight,0.0003146405411634517,tier2
MagpieData range GSmagmom,0.00028344267980131844,tier2
MagpieData minimum GSbandgap,0.00025632235217393906,tier2
MagpieData range NsUnfilled,0.00021449680246744322,tier2
MagpieData range NsValence,0.00018315268750414998,tier2
MagpieData mode NfValence,0.00018208525645329202,tier2
MagpieData maximum NsUnfilled,0.0001624713809719952,tier2
MagpieData minimum NpUnfilled,0.0001255889453929682,tier2
MagpieData mode NdUnfilled,0.0001062081279552973,tier2
MagpieData mode GSmagmom,9.431991324302087e-05,tier2
MagpieData mode NdValence,9.281719943631453e-05,tier2
MagpieData mode NsValence,8.467868107015277e-05,tier2
MagpieData range NfValence,8.376468686768974e-05,tier2
MagpieData mode NpValence,8.32918995439337e-05,tier2
MagpieData mode Row,7.05116011050454e-05,tier2
MagpieData minimum NpValence,4.490736134874062e-05,tier2
MagpieData minimum NdValence,4.107782343980965e-05,tier2
MagpieData maximum Row,3.064300269722949e-05,tier2
MagpieData mode NfUnfilled,1.1833179179312966e-05,tier2
MagpieData maximum NpValence,9.306027220945303e-06,tier2
MagpieData mode NsUnfilled,8.621429483125856e-06,tier2
MagpieData minimum Row,6.210417237804553e-06,tier2
MagpieData maximum NsValence,0.0,tier2
MagpieData minimum NfValence,0.0,tier2
MagpieData minimum NsUnfilled,0.0,tier2
MagpieData minimum NdUnfilled,0.0,tier2
MagpieData minimum NfUnfilled,0.0,tier2
MagpieData minimum GSmagmom,0.0,tier2
