feature,mean_abs_shap,tier,family
MagpieData mode Electronegativity,0.3330180814473099,tier2,halide
MagpieData avg_dev Electronegativity,0.2071341366357843,tier2,halide
MagpieData mean NdValence,0.08298009139336442,tier2,halide
MagpieData avg_dev NdValence,0.072927579988267,tier2,halide
MagpieData mean SpaceGroupNumber,0.06949971213921922,tier2,halide
MagpieData maximum Electronegativity,0.06276481022161207,tier2,halide
MagpieData avg_dev MendeleevNumber,0.04818443354455959,tier2,halide
MagpieData avg_dev NUnfilled,0.0476920800255546,tier2,halide
std_dev CN_VoronoiNN,0.04190601069855683,tier2,halide
n_symmetry_ops,0.041001363155957433,tier2,halide
MagpieData minimum MendeleevNumber,0.03806391608396328,tier2,halide
MagpieData range Electronegativity,0.03506315590384643,tier2,halide
vpa,0.03473705713039332,tier2,halide
MagpieData avg_dev NpValence,0.034340312484843476,tier2,halide
MagpieData mean NpValence,0.033480813221718995,tier2,halide
MagpieData avg_dev CovalentRadius,0.03194599083227565,tier2,halide
MagpieData maximum CovalentRadius,0.026826464639590812,tier2,halide
MagpieData maximum NdValence,0.02664941182660121,tier2,halide
MagpieData range SpaceGroupNumber,0.025543380749279327,tier2,halide
MagpieData avg_dev Column,0.025322990475647594,tier2,halide
MagpieData mean NsValence,0.025072995961130558,tier2,halide
density,0.025001610368038222,tier2,halide
MagpieData mode SpaceGroupNumber,0.024807182574718454,tier2,halide
spacegroup_num,0.022561695026615945,tier2,halide
MagpieData mean GSbandgap,0.022354760843874662,tier2,halide
MagpieData maximum GSbandgap,0.021258854879865383,tier2,halide
packing fraction,0.018178716699820872,tier2,halide
MagpieData mode MeltingT,0.017538183546500004,tier2,halide
MagpieData mean MeltingT,0.016308458714247014,tier2,halide
MagpieData range MeltingT,0.01564989915075004,tier2,halide
MagpieData maximum NUnfilled,0.015482215796962503,tier2,halide
MagpieData mean NsUnfilled,0.013618427567335542,tier2,halide
MagpieData avg_dev GSvolume_pa,0.013187363222216092,tier2,halide
MagpieData range CovalentRadius,0.012993361120773905,tier2,halide
MagpieData minimum Electronegativity,0.012979169394086141,tier2,halide
MagpieData range GSbandgap,0.012895347457040364,tier2,halide
mean CN_VoronoiNN,0.012887352051345159,tier2,halide
MagpieData maximum NpUnfilled,0.012853431297447458,tier2,halide
MagpieData range NUnfilled,0.01277854218992367,tier2,halide
MagpieData avg_dev GSbandgap,0.01236629587746625,tier2,halide
MagpieData minimum GSvolume_pa,0.011587962992794867,tier2,halide
MagpieData mean GSvolume_pa,0.01134801400371161,tier2,halide
MagpieData maximum NdUnfilled,0.0101668392237395,tier2,halide
MagpieData minimum Column,0.009603808107917068,tier2,halide
MagpieData minimum NUnfilled,0.009551413946276505,tier2,halide
MagpieData maximum MeltingT,0.009381528863466165,tier2,halide
MagpieData mean Electronegativity,0.009376863601049638,tier2,halide
MagpieData avg_dev SpaceGroupNumber,0.00888449135621979,tier2,halide
MagpieData avg_dev NsValence,0.008406817072243299,tier2,halide
MagpieData mode Number,0.007979310314297017,tier2,halide
MagpieData avg_dev MeltingT,0.007737345096992605,tier2,halide
MagpieData maximum NValence,0.00745840448218637,tier2,halide
MagpieData mean NpUnfilled,0.0072147601732392335,tier2,halide
MagpieData mean NUnfilled,0.007141876918081029,tier2,halide
is_centrosymmetric,0.006927113193912979,tier2,halide
MagpieData maximum MendeleevNumber,0.006808097532764983,tier2,halide
MagpieData minimum MeltingT,0.006386730011062821,tier2,halide
MagpieData avg_dev NpUnfilled,0.006231283659716622,tier2,halide
MagpieData avg_dev NdUnfilled,0.006213334050031229,tier2,halide
MagpieData mean MendeleevNumber,0.006151938817259555,tier2,halide
MagpieData mean GSmagmom,0.005884197110826717,tier2,halide
MagpieData maximum GSvolume_pa,0.005837717552201365,tier2,halide
MagpieData mean Column,0.005723036519426556,tier2,halide
MagpieData range NdValence,0.005703443054474544,tier2,halide
MagpieData minimum Number,0.005384978227508012,tier2,halide
MagpieData range NValence,0.005027923059393936,tier2,halide
MagpieData mode NpUnfilled,0.0049500658967022585,tier2,halide
MagpieData range GSvolume_pa,0.0046937638289322944,tier2,halide
MagpieData mean NValence,0.004587421059027446,tier2,halide
MagpieData mode MendeleevNumber,0.004437729349568431,tier2,halide
MagpieData mean Row,0.004300279558491341,tier2,halide
MagpieData mode GSvolume_pa,0.00425270980536681,tier2,halide
MagpieData maximum Number,0.004178080952892498,tier2,halide
MagpieData avg_dev AtomicWeight,0.003908138697036491,tier2,halide
MagpieData mode CovalentRadius,0.003828491232127239,tier2,halide
MagpieData maximum Column,0.003700496485225433,tier2,halide
MagpieData maximum NfUnfilled,0.003542053333017218,tier2,halide
crystal_system,0.0034428158036522785,tier2,halide
MagpieData avg_dev NValence,0.0033768214497974887,tier2,halide
