feature,mean_abs_shap,tier,family
MagpieData mode Electronegativity,0.47021969962534654,tier2,nitride
MagpieData mean SpaceGroupNumber,0.1685848307309438,tier2,nitride
MagpieData avg_dev Electronegativity,0.1159682034513166,tier2,nitride
MagpieData avg_dev NpValence,0.07900805979121242,tier2,nitride
MagpieData minimum MendeleevNumber,0.06552733014427711,tier2,nitride
MagpieData avg_dev MendeleevNumber,0.06543542373640691,tier2,nitride
MagpieData mean NdValence,0.057785739170937954,tier2,nitride
MagpieData maximum Electronegativity,0.054573312431591504,tier2,nitride
vpa,0.0502327705678715,tier2,nitride
MagpieData avg_dev NUnfilled,0.04562531515201916,tier2,nitride
std_dev CN_VoronoiNN,0.04029487871296065,tier2,nitride
MagpieData avg_dev NdValence,0.04003591899754304,tier2,nitride
MagpieData maximum CovalentRadius,0.038486524890910236,tier2,nitride
MagpieData avg_dev Column,0.03613572338759059,tier2,nitride
MagpieData minimum Electronegativity,0.03528981878179024,tier2,nitride
MagpieData mean NpValence,0.03288303104412889,tier2,nitride
n_symmetry_ops,0.028180936760817735,tier2,nitride
MagpieData mode SpaceGroupNumber,0.027919260896532013,tier2,nitride
MagpieData maximum NUnfilled,0.02781774399723933,tier2,nitride
MagpieData mean GSbandgap,0.027634250431218525,tier2,nitride
packing fraction,0.027428248974775162,tier2,nitride
density,0.027022720765878465,tier2,nitride
MagpieData avg_dev GSbandgap,0.02494992713786115,tier2,nitride
MagpieData maximum GSbandgap,0.024162380002204324,tier2,nitride
MagpieData range Electronegativity,0.021201849792682685,tier2,nitride
spacegroup_num,0.0208783205522246,tier2,nitride
MagpieData mean MeltingT,0.020797125290276414,tier2,nitride
MagpieData avg_dev CovalentRadius,0.019525184764394868,tier2,nitride
mean CN_VoronoiNN,0.01894172413871669,tier2,nitride
MagpieData avg_dev SpaceGroupNumber,0.018574132050146193,tier2,nitride
MagpieData mean NsValence,0.017878740092492355,tier2,nitride
MagpieData maximum NdValence,0.016150295169293047,tier2,nitride
MagpieData range GSbandgap,0.01502785780011124,tier2,nitride
MagpieData avg_dev NdUnfilled,0.014425812833280439,tier2,nitride
MagpieData mean GSvolume_pa,0.013988670107253676,tier2,nitride
MagpieData range NUnfilled,0.011554509994161579,tier2,nitride
MagpieData range SpaceGroupNumber,0.010279111399039309,tier2,nitride
MagpieData minimum CovalentRadius,0.01008601326329848,tier2,nitride
MagpieData avg_dev GSvolume_pa,0.01003709720496828,tier2,nitride
MagpieData range MeltingT,0.009913487641205688,tier2,nitride
MagpieData mean NsUnfilled,0.009782737915840297,tier2,nitride
MagpieData mean Electronegativity,0.009395767168135326,tier2,nitride
MagpieData avg_dev MeltingT,0.008930017138288485,tier2,nitride
MagpieData mean NpUnfilled,0.00876897212962977,tier2,nitride
MagpieData maximum NdUnfilled,0.008574287580730427,tier2,nitride
MagpieData mean NUnfilled,0.008539836666080396,tier2,nitride
MagpieData mean Column,0.00850689697971899,tier2,nitride
MagpieData minimum GSvolume_pa,0.008447313752991372,tier2,nitride
MagpieData mode MeltingT,0.008127314488236604,tier2,nitride
MagpieData range CovalentRadius,0.008092842981276585,tier2,nitride
MagpieData minimum Number,0.007898230454303308,tier2,nitride
MagpieData minimum SpaceGroupNumber,0.007788873204758712,tier2,nitride
MagpieData avg_dev NsValence,0.006979269395971265,tier2,nitride
MagpieData minimum NUnfilled,0.006865806952724101,tier2,nitride
MagpieData mode GSvolume_pa,0.006473670288318793,tier2,nitride
MagpieData avg_dev NpUnfilled,0.00635117517955731,tier2,nitride
MagpieData maximum NpUnfilled,0.006336510514856984,tier2,nitride
MagpieData maximum MeltingT,0.006058410407690622,tier2,nitride
is_centrosymmetric,0.0057411493924212345,tier2,nitride
MagpieData mode MendeleevNumber,0.005528266577380055,tier2,nitride
MagpieData maximum NValence,0.005522892225194562,tier2,nitride
MagpieData mean Row,0.00542670870233607,tier2,nitride
MagpieData minimum Column,0.005143086203046642,tier2,nitride
